parameter,rhat,experiment,condition,model_name
"z_1[1,21]",1.003899025316875,exp1,cue,simple
"z_1[1,22]",1.0041366234629034,exp1,cue,simple
"z_1[1,23]",1.0031005650481664,exp1,cue,simple
"z_1[1,24]",1.0031677494144584,exp1,cue,simple
"z_1[1,25]",1.0024318097605636,exp1,cue,simple
"z_1[1,26]",1.0050417958585964,exp1,cue,simple
"z_1[1,27]",1.0020463134113886,exp1,cue,simple
"z_1[1,28]",1.0029007245708936,exp1,cue,simple
"z_1[1,29]",1.0024266505848987,exp1,cue,simple
"z_1[1,30]",1.003714903000275,exp1,cue,simple
"z_1[1,31]",1.002872616927351,exp1,cue,simple
"z_1[1,32]",1.0040348814880828,exp1,cue,simple
"z_1[1,33]",1.0034242790263839,exp1,cue,simple
"z_1[1,34]",1.0022068340938308,exp1,cue,simple
"z_1[1,35]",1.0028922410860504,exp1,cue,simple
"z_1[1,36]",1.002842783597029,exp1,cue,simple
"z_1[1,37]",1.0021539301989848,exp1,cue,simple
"z_1[1,38]",1.0025051676429164,exp1,cue,simple
"z_1[1,39]",1.001821860891142,exp1,cue,simple
"z_1[1,40]",1.0021409878328558,exp1,cue,simple
"z_1[1,41]",1.0036087566792924,exp1,cue,simple
"z_1[1,42]",1.005040839110087,exp1,cue,simple
"z_1[1,43]",1.0036483449293163,exp1,cue,simple
"z_1[1,44]",1.0019463367339987,exp1,cue,simple
"z_1[1,45]",1.0044665456560258,exp1,cue,simple
"z_1[1,46]",1.0024530793302646,exp1,cue,simple
"z_1[1,47]",1.001739560964688,exp1,cue,simple
"z_1[1,48]",1.0021813435886067,exp1,cue,simple
"z_1[1,49]",1.0020908211050805,exp1,cue,simple
"z_1[1,50]",1.0030155426219947,exp1,cue,simple
"z_1[1,51]",1.0020116262612597,exp1,cue,simple
"z_1[1,52]",1.003188724551325,exp1,cue,simple
"z_1[1,53]",1.0037919865081413,exp1,cue,simple
"z_1[1,54]",1.0034008746288374,exp1,cue,simple
"z_1[1,55]",1.0019157161709642,exp1,cue,simple
